id,sentiment,text,scores,compound,pos,neu,neg,Predicted_Sentiment
5089,Negative,RT @mch7576: RT “@Bipartisanism: What #CarlyFiorina forgot to mention in the #GOPDebate: http://t.co/Io1yD58MD3”,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5090,Positive,"The Master of Useful Humor

#gopdebate #imwithhuck #gop #ccot #teaparty #tcot #makedclisten #wethepeople #uniteright
http://t.co/DmWCGGCwmy","{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.6124}",0.6124,0.278,0.722,0.0,Positive
5091,Positive,That's a wrap! So blessed to have been able to be apart of it all 🇺🇸🐘💁🏻❤️ #gopdebate #kasich4us https://t.co/NfwJVLpt96,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.6689}",0.6689,0.209,0.791,0.0,Positive
5092,Neutral,RT @MatthewArco: Christie has had about 5 minutes worth of talking time so far. #GOPdebate,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.2263}",0.2263,0.128,0.872,0.0,Positive
5093,Negative,"RT @greatbong: #GOPDebate God speaks to all the GOP candidates. If that does not make you an atheist , I dont know what will.","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.2732}",0.2732,0.091,0.909,0.0,Positive
5094,Neutral,RT @Marnus3: The perfect remedy for a #GOPDebate hangover is to #FF @messagingmatt @StCyrlyMe2 @beetrix @Jenn4Laughs @dmiller23 @msbellows …,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.5719}",0.5719,0.188,0.812,0.0,Positive
5095,Positive,RT @hilderestad: Republican strategist @FrankLuntz 's focus group during #GOPDebate ended up decidedly not liking Trump by end of debate.,"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.3687}",-0.3687,0.0,0.882,0.118,Negative
5096,Positive,"Kim Kardashian can make a sex tape, have a TV show &amp; do a promo pose with Hillary, but Trump can't call a women a dog. #GOPDebate #PC","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5097,Negative,RT @DennisPrager: Donald Trump's unwillingness to pledge not to run as an independent should immediately disqualify him in every Republican…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5098,Positive,"RT @alexandraheuser: NYT Lib take on #GOPDebate On support4 Trump audience @ NY beer hall “In a room full of progressives, u better believe…","{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4404}",0.4404,0.127,0.873,0.0,Positive
5099,Neutral,Here's how much each candidate spoke throughout the #GOPDebate: http://t.co/90Xa4VCINU @WSJ http://t.co/bcTaj3xDGA,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5100,Neutral,@gop general session in #Cleveland post #GOPDebate http://t.co/8Wd0PZWMfD,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5101,Neutral,Twitter declares Carly Fiorina the #GOPDebate winner http://t.co/fHA3t6UY3u,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.5859}",0.5859,0.352,0.648,0.0,Positive
5102,Negative,RT @CarolCNN: #DonaldTrump won't rule out third-party bid @David_Gergen @alexcast look into the #GOPdebate http://t.co/45F7u5UlKH http://t.…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5103,Negative,"Please note, this is not a lie. World only has 53.3 years of oil reserves left. Hello, anyone listening? #GOPDebate #uniteblue #cnn #manbc","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.3182}",0.3182,0.099,0.901,0.0,Positive
5104,Negative,@roryontour @bannerite @SayNoToGOP @POTUS #cspanchat how QUICK #CANDIDATES #gopdeBATE TURN and how much FASTER #RWNJ #ZOMBIES turn on them,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5105,Positive,"RT @Writeintrump: I'm the only one on stage who can handle Iran. If anyone can understand Persians, it's a guy who lives in a Gold Penthous…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5106,Positive,"RT @madisongesiotto: ""We've got to unite our country again because we are stronger when we are united"" @JohnKasich @FoxNews #GOPDebate","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6597}",0.6597,0.231,0.769,0.0,Positive
5107,Positive,RT @cenkuygur: John Kasich is doing something bold- not pandering to the base.Wonder if he gets points for courage.Maybe gets respect for t…,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.6908}",0.6908,0.213,0.787,0.0,Positive
5108,Positive,For once I agree with 90% of @camillepaglia 's assessment: #GOPDebate http://t.co/BxuNX9UkDf,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",0.3612,0.2,0.8,0.0,Positive
5109,Negative,"RT @roseperson: Can you imagine 10 women, each hoping to run the country, all vowing to intervene in men's decisions about their own bodies…","{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4215}",0.4215,0.109,0.891,0.0,Positive
5110,Neutral,Orange Kryptonite: Gives superpowers to any animal that touches it. #GOPDebate  https://t.co/L9niLaUMLR,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5111,Negative,"RT @TuneInfinity: After last nights #GOPDebate, if that's The future of the #USA then we have a lot to worry about","{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.4404}",-0.4404,0.0,0.868,0.132,Negative
5112,Positive,"#CamillePaglia on #GOPdebate (sadly, I agree with most she says) http://t.co/nrUgsn3XIu via @thr","{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}",0.3612,0.185,0.815,0.0,Positive
5113,Negative,"Just as we get the world we deserve, the #GOP gets the candidates it deserves. If you don't like Trump, look in the mirror. #GOPDebate","{'neg': 0.081, 'neu': 0.919, 'pos': 0.0, 'compound': -0.2755}",-0.2755,0.0,0.919,0.081,Negative
5114,Negative,Lol- I just realized there are people that are taking this Trump run for presidency FOR REAL.  My bad.  #GOPDebate,"{'neg': 0.15, 'neu': 0.73, 'pos': 0.12, 'compound': -0.1779}",-0.1779,0.12,0.73,0.15,Negative
5115,Neutral,WSJ: Here's how much each candidate spoke throughout the #GOPDebate: http://t.co/PhB2PfYIWw http://t.co/7mEmW9MkCt,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5116,Neutral,perfect summation of the #GOPDebate https://t.co/P2D2SEwvvl,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.5719}",0.5719,0.425,0.575,0.0,Positive
5117,Negative,RT @jessicakathryn: Donald trump and @Eat24 feed the world with tacos #GOPDebate http://t.co/qHUiegkDMn,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5118,Negative,My favorite moment from last night's #GOPDebate http://t.co/Vnc4IslI7q,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.4588}",0.4588,0.3,0.7,0.0,Positive
5119,Negative,"Biggest takeaway from #GOPDebate, Rs love the US and can see it's greatness. Ds are nothing but full of greivenses.","{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.3818}",0.3818,0.12,0.88,0.0,Positive
5120,Neutral,#GOPDebate FACT CHECKED! And The Results Are...... #EDShow #POLITICSNATION #UPPERS #NERDLAND #HANNITY #OreillyFactor http://t.co/PlTpUdHNkT,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5121,Positive,"Now that the dust is settling from last night, it's becoming clear that #JohnKasich won and helped himself the most. #GOPDebate #2016","{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.743}",0.743,0.24,0.76,0.0,Positive
5122,Negative,RT @LowInfoTweeter: Can Jeb Bush be swapped out for Carly Fiorina in the next debate or does the line of succession have to be Clinton or B…,"{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.2023}",0.2023,0.065,0.935,0.0,Positive
5123,Negative,A perfect summation of the #GOPDebate https://t.co/R2unC6FSht,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.5719}",0.5719,0.425,0.575,0.0,Positive
5124,Negative,RT @TheBaxterBean: Nothing says Republican populist fighting for everyday working-man like arriving in your gold-plated 757. #GOPDebate htt…,"{'neg': 0.119, 'neu': 0.762, 'pos': 0.119, 'compound': 0.0}",0.0,0.119,0.762,0.119,Neutral
5125,Positive,@realDonaldTrump explains campaign finance at #GOPDebate lat night. Very insightful piece by @voxdotcom http://t.co/LostDaifAn,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5126,Neutral,RT @cathyjets: Retweeted by JK Rowling. So accurate after the #GOPDebate last night and #JonVoyage  https://t.co/pJPSzkPAA8,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.3885}",0.3885,0.149,0.851,0.0,Positive
5127,Neutral,RT @jfreewright: God's making an appearance? Cool! #GOPDebate,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.3802}",0.3802,0.27,0.73,0.0,Positive
5128,Neutral,RT @alexandraheuser: Liberals love her - very promoting -  just sayin'  #Fiorina #GOPDebate  https://t.co/CJKBDxZyot,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.7902}",0.7902,0.412,0.588,0.0,Positive
5129,Negative,"The #GOPDebate, In Five Clips http://t.co/SwmOKMQZTE From #DumbAndDumber...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5130,Negative,"Explaining the #GOPDebate to my dad who missed it and describing it as a SNL skit, basically.","{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.872,0.128,Negative
5131,Negative,"I just have to laugh at all these 'analysis' of the #GOPDebate It was just entertainment, that's all. Both the moderators &amp; the candidates.","{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.7506}",0.7506,0.234,0.766,0.0,Positive
5132,Negative,"Odds on @realDonaldTrump uttering ""#cuckservative"" at the next #GOPDebate ?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5133,Negative,"Slept 10 hrs last night, right through the #GOPDebate 
Judging from tweets, that was very beneficial to my health.","{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4927}",0.4927,0.151,0.849,0.0,Positive
5134,Neutral,RT @mitchellreports: Back in DC for #AMR on @msnbc today &amp; post #GOPdebate talk w/ @TheFix @capehartj @kellyo @katyturnbc at noon ET,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5135,Negative,RT @scorpio5053: @WalterWhfla @DesignerDeb3 @realDonaldTrump ABSOLUTELY!  I REFUSE TO ALLOW @FoxNews to speak for me. I'll draw my own conc…,"{'neg': 0.171, 'neu': 0.685, 'pos': 0.143, 'compound': -0.1765}",-0.1765,0.143,0.685,0.171,Negative
5136,Negative,"#GOPDebate @realDonaldTrump called our POTUS ""stupid"".  What does that make him?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5137,Negative,"2/2 Me: ""its like a priest who can get married, have kids"" ""ohh a tea party person"" Me: ""yep. Pretty much."" Geese - #GOPDebate #ClownCar","{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.8126}",0.8126,0.307,0.693,0.0,Positive
5138,Neutral,"Break down of #GOPDebate from transcript. Use of words (as related to ecosystems) oil, climate, environment=0. Energy= 2x by Bush, 1 Walker","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5139,Negative,"RT @TheBaxterBean: ""If guns don't kill people why are they strickly forbidden anywhere near #GOPdebate?""

#DebateQuestionsWeWantToHear http…","{'neg': 0.13, 'neu': 0.696, 'pos': 0.174, 'compound': 0.2354}",0.2354,0.174,0.696,0.13,Positive
5140,Positive,"#Fiorina is presidential material.  Looking forward to seeing her surge.
#GOPDebate","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5141,Positive,.@megynkelly slayed the #GOPDebate and asked thought provoking questions. 👏🏼 or else @realDonaldTrump wouldn't be tweeting about it.,"{'neg': 0.096, 'neu': 0.904, 'pos': 0.0, 'compound': -0.2023}",-0.2023,0.0,0.904,0.096,Negative
5142,Negative,The perfect remedy for a #GOPDebate hangover is to #FF @KyBurg  @FutureBoston  @Sycamoron  @NewPoll_inTown,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.5719}",0.5719,0.236,0.764,0.0,Positive
5143,Positive,Love @washingtonpost's video re-cap of the #GOPDebate: http://t.co/Ikp4M4hAAD,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}",0.6369,0.375,0.625,0.0,Positive
5144,Negative,I listened to the #GOPDebate &amp; got a different feel than the TV pundits. @realDonaldTrump was the smartest racist/ misogynist on stage.,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.6124}",0.6124,0.174,0.826,0.0,Positive
5145,Negative,"RT @MeganSmiles: You also left out the collapse of @megynkelly 
Her obvious bias was unprofessional &amp; childish #GOPDebate #KellyFile  https…","{'neg': 0.387, 'neu': 0.613, 'pos': 0.0, 'compound': -0.8442}",-0.8442,0.0,0.613,0.387,Negative
5146,Neutral,Last night's #GOPDebate in a nutshell. http://t.co/yQW1HmwGX8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5147,Positive,RT @ShannaR86570997: “@megynkelly: #KellyFile is LIVE now with reaction to #GOPDebate your @realDonaldTrump attack was obvious why are u so…,"{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0.0,0.853,0.147,Negative
5148,Neutral,RT @ChristianMale87: I took screenshots of the results of the .@FoxNews #ElectionHQ from the #GOPDebate. Not surprised by the results. http…,"{'neg': 0.081, 'neu': 0.919, 'pos': 0.0, 'compound': -0.1695}",-0.1695,0.0,0.919,0.081,Negative
5149,Negative,#GOPDebate How do you spell disappointment? M-e-g-y-n k-e-l-l-y,"{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.5106}",-0.5106,0.0,0.68,0.32,Negative
5150,Negative,"RT @Diane_7A: As president, would you make THIS FACE? #GOPDebate http://t.co/3oV2pV8UGL","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5151,Neutral,"#GOPDebate Republicans say it's raining;Democrats say its sunny.Rather than go outside&amp;see for themselves,the media reports the controversy","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5152,Neutral,"The perfect remedy for a #GOPDebate hangover is to #FF @ShaunKing  
@Oregonemom   @Joseph_Santoro  @BWheatnyc @S_Cosgrove @caitlinchris","{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.5719}",0.5719,0.209,0.791,0.0,Positive
5153,Positive,".@KObradovich on Trump &amp; #GOPDebate: "" been bulletproof so far in the race and that’s unlikely to change"" #iacaucus http://t.co/HFvzJIxXJY","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5154,Neutral,"RT @rachelhills: For sex talk that's a little less crazy than last night's #gopdebate, here's @AngelaLedgerwoo and I on @litupshow: http://…","{'neg': 0.092, 'neu': 0.908, 'pos': 0.0, 'compound': -0.2092}",-0.2092,0.0,0.908,0.092,Negative
5155,Negative,RT @schafawafa: Trump is alienating himself from every single woman in the US #GOPDebate #trumpsucks,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5156,Negative,"RT @irritatedwoman: Retweeted ✯✯Gene McVay✯✯ (@GeneMcVay):

#GOPDebate proved that @FoxNews is ALL IN for another liberal... http://t.co/Dz…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5157,Negative,RT @cenkuygur: Did Scott Walker just say he has a harlot? #GOPDebate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5158,Negative,"RT @ShaynaUniverse: Was it me, or did the panel at last night's #GOPDebate seem a little... snide? @realDonaldTrump @RealBenCarson @kirstie…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5159,Negative,"@FoxNews @greta @greggutfeld @TheFive 
Last nt #GOPDebate was just like the first session of summer two-a-days for ballers. Get used to it.","{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3612}",0.3612,0.106,0.894,0.0,Positive
5160,Neutral,"RT @SteveKrak: My Final Four GOP candidates in 2016 picks were Rubio, Jeb, Rand &amp; Fiorina: https://t.co/wi3h7QWRIJ After #GOPDebate, what a…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5161,Negative,The Democrats love to keep people poor and confused in order to make them slaves to their party. Liberals are for chaos. #GOPDebate #Trump,"{'neg': 0.26, 'neu': 0.543, 'pos': 0.197, 'compound': -0.296}",-0.296,0.197,0.543,0.26,Negative
5162,Positive,".@CNN is breaking down the debate with fact checks, good to see the media actually holding some of the candidates accountable. #GOPDebate","{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.4404}",0.4404,0.121,0.879,0.0,Positive
5163,Negative,"RT @GetUpStandUp2: #BATSask which #GOPDebate will fund schools, not prisons? @berniesanders http://t.co/32eHUQDEKF","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5164,Negative,"#GOPDebate -ers vs Trump?  The gloves stayed on, except for #Fiorina.  She kicked him to the curb, like he was an HP employee.","{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3612}",0.3612,0.102,0.898,0.0,Positive
5165,Negative,"RT @jeffchu: ""I created a culture of life in my state."" —@JebBush, former Gov of Florida, which executed 21 people during his term in offic…","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.25}",0.25,0.08,0.92,0.0,Positive
5166,Positive,Good explanation as to why #Trump surges ahead of other #cuckservative candidates. #GOPDebate http://t.co/hagmnn1Tv7 http://t.co/WOkhF3sU88,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",0.4404,0.172,0.828,0.0,Positive
5167,Neutral,RT @Anomaly100: Donald Trump: Megyn Kelly Is A Bimbo For Asking Me About My Misogynistic Comments http://t.co/PsEZgVLdfr #GOPDebate http://…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5168,Neutral,RT @iDXR: The Republicans are telling on America tonight. #GOPDebate https://t.co/jGQAraeKU4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5169,Negative,"She @megynkelly is a horrible commentator  @FoxNews did a terrible job last night, very DISAPPOINTING! #GOPDebate  https://t.co/RhscuZ5b9E","{'neg': 0.481, 'neu': 0.519, 'pos': 0.0, 'compound': -0.9025}",-0.9025,0.0,0.519,0.481,Negative
5170,Negative,#GOPDebate #TrumpsHair + #cats Enough said. http://t.co/zh6koToIiF,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5171,Negative,"RT @mskristinawong: Poor #BenCarson. Ignored, tokenized, getting cut off. Being treated in this debate like...Well, like a black man in thi…","{'neg': 0.288, 'neu': 0.615, 'pos': 0.096, 'compound': -0.6124}",-0.6124,0.096,0.615,0.288,Negative
5172,Negative,RT @BrianBalthazar: I've heard clearer messages during the charades portion of Hollywood Game Night. #GOPDebate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5173,Negative,"RT @darth: so apparently the candidates are arriving at the debate site

#GOPDebate http://t.co/GeXsjxrct3","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5174,Neutral,The perfect remedy for a #GOPDebate hangover is to #FF @pharris830 @mharvey816  @comebackdecade  @GlenThePlumber  @RFSchatten,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.5719}",0.5719,0.222,0.778,0.0,Positive
5175,Negative,@dickscuttlebutt @TYFYS84 @DuffelBlog your #GOPDebate tl;dr: blah blah politics blah blah whiskey blah silent weeping blah Christie is fat.,"{'neg': 0.485, 'neu': 0.515, 'pos': 0.0, 'compound': -0.743}",-0.743,0.0,0.515,0.485,Negative
5176,Negative,"""Often times, the person that knows they can't win, is allowed to speak the most freely"" - Jon Stewart 2004 #GOPDebate","{'neg': 0.127, 'neu': 0.742, 'pos': 0.132, 'compound': 0.0312}",0.0312,0.132,0.742,0.127,Neutral
5177,Negative,"@FoxNews @megynkelly @BretBaier court @realDonaldTrump to boost their ratings, but try to undermine him at the #GOPDebate #TheDonaldOnTop","{'neg': 0.136, 'neu': 0.775, 'pos': 0.09, 'compound': -0.2382}",-0.2382,0.09,0.775,0.136,Negative
5178,Negative,"If the #GOP gave a shit about poor people, they'd let then watch the PRESIDENTIAL FUCKING DEBATE w/o a paid cable subscription. #GOPDebate","{'neg': 0.261, 'neu': 0.739, 'pos': 0.0, 'compound': -0.7717}",-0.7717,0.0,0.739,0.261,Negative
5179,Neutral,Guy in grey shirt is open carrying. Don't know who he is. #GOPDebate #ScottWalker http://t.co/M05rAO00ky,"{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.0516}",0.0516,0.079,0.921,0.0,Positive
5180,Negative,The perfect remedy for a #GOPDebate hangover is to #FF @messagingmatt @StCyrlyMe2 @beetrix @Jenn4Laughs @dmiller23 @msbellows @liberal98,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.5719}",0.5719,0.198,0.802,0.0,Positive
5181,Negative,"Watched the #GOPDebate from last night and damn, trump went off.Polls are showing that most people think he won will be interesting goin fwd","{'neg': 0.09, 'neu': 0.698, 'pos': 0.213, 'compound': 0.5719}",0.5719,0.213,0.698,0.09,Positive
5182,Neutral,"RT @deray: And now, the #GOPDebate addresses the movement.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5183,Negative,RT @RobbyLSU: What I learned last night... #MegynKelly should not be moderating debates. Came off as snarky and biased. #GOPDebate,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.2732}",-0.2732,0.0,0.896,0.104,Negative
5184,Negative,RT @alexandraheuser: LOL Sad but TRUE #FoxNews on decline as Conservatives abandon big business media elite $$$ bandwagon. #GOPDebate  http…,"{'neg': 0.204, 'neu': 0.552, 'pos': 0.244, 'compound': 0.2883}",0.2883,0.244,0.552,0.204,Positive
5185,Negative,"RT @sallykohn: As always when watching current GOP crop of candidates, I feel very encouraged as a Democrat but very depressed as an Americ…","{'neg': 0.183, 'neu': 0.747, 'pos': 0.071, 'compound': -0.6115}",-0.6115,0.071,0.747,0.183,Negative
5186,Positive,@RealBenCarson congrats on crossing 2 million likes on FB! #BC2DC16 #whitecoat2whitehouse #GOPDebate #BCtoDC16,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.7574}",0.7574,0.394,0.606,0.0,Positive
5187,Negative,RT @Mudflats: For those of you who missed the #GOPDebate #FoxDebate - here's the highlight reel. http://t.co/Lyd7SGLGRB,"{'neg': 0.118, 'neu': 0.753, 'pos': 0.129, 'compound': 0.0516}",0.0516,0.129,0.753,0.118,Positive
5188,Negative,My take on the #GOPDebate: it wasn't a true debate. Except for a handful of onstage battles it was really just people answering questions,"{'neg': 0.198, 'neu': 0.802, 'pos': 0.0, 'compound': -0.6036}",-0.6036,0.0,0.802,0.198,Negative
5189,Positive,By far the best part of the #GOPDebate is the hostess @megynkelly 😍😍,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.6369}",0.6369,0.259,0.741,0.0,Positive
5190,Negative,Yes or no if Jeb Bush wears Spanx #GOPDebate,"{'neg': 0.185, 'neu': 0.588, 'pos': 0.227, 'compound': 0.128}",0.128,0.227,0.588,0.185,Positive
5191,Negative,@HillaryClinton took a selfie with Kim K. The #GOPDebate was a bonafide shit show and Jon Stewart is off the air. I weep for America.,"{'neg': 0.267, 'neu': 0.733, 'pos': 0.0, 'compound': -0.8074}",-0.8074,0.0,0.733,0.267,Negative
5192,Positive,Love when the #GOPDebate takes over @mamasbarnyc - That hair looks great on the big screen @realDonaldTrump http://t.co/Tq7EZQeFMM,"{'neg': 0.0, 'neu': 0.644, 'pos': 0.356, 'compound': 0.8519}",0.8519,0.356,0.644,0.0,Positive
5193,Negative,The Last 15 min of the #GOPDebate was #insane #god was invoked so many times it reminded me of #ISIS #liberal #Secularism #equalityforall,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5194,Negative,RT @MattGubser: Didn't watch the #GOPdebate because my TV doesn't get 1954.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5195,Positive,"RT @YaakovSchapiro: My #GOPDebate analysis, 10) Gov. Kasich = A rising star in republican politics, Shows strong leadership, Will definitel…","{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.5106}",0.5106,0.163,0.837,0.0,Positive
5196,Positive,"RT @YaakovSchapiro: My #GOPDebate analysis, 9) Gov. Christie = Come back kid, Powerful, Knows how to punch, Had some great points, will ris…","{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.7845}",0.7845,0.257,0.743,0.0,Positive
5197,Negative,"Dear Republican Party, you broker the Donald, you own him. Pony up, Bitch. #GOPDebate #2016","{'neg': 0.18, 'neu': 0.569, 'pos': 0.251, 'compound': 0.128}",0.128,0.251,0.569,0.18,Positive
5198,Neutral,RT @leslieshedd: .@AaronBlakeWP: “@CarlyFiorina is versed in everything.” http://t.co/rlJz1QOS8c #GOPDebate #Carly2016,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5199,Negative,No substance. All talk about issues that only matter to the rich.  #GOPDebate was a failure of political process.  https://t.co/3NmnxWOYHH,"{'neg': 0.218, 'neu': 0.595, 'pos': 0.187, 'compound': -0.2023}",-0.2023,0.187,0.595,0.218,Negative
